DATASET,DATAPATH,SEQ,MODEL,MODEL_PATH,ISCALE,OSCALE,_ABS_REL_DIFF,_SQU_REL_DIFF,_RMS_LINEAR,_RMS_LOG,_SILOG,_MEAN_TARGET_DEPTH,_MEDIAN_TARGET_DEPTH,_MEAN_PREDICTION_DEPTH,_MEDIAN_PREDICTION_DEPTH,_MEAN_DEPTH_ERROR,_MEDIAN_DIFF,_THRESHOLD_DELTA_1.25,_THRESHOLD_DELTA_1.25^2,_THRESHOLD_DELTA_1.25^3,_10_MEAN_TARGET_DEPTH,_10_MEDIAN_TARGET_DEPTH,_10_MEAN_PREDICTION_DEPTH,_10_MEDIAN_PREDICTION_DEPTH,_10_ABS_REL_DIFF,_10_SQU_REL_DIFF,_10_RMS_LINEAR,_10_RMS_LOG,_10_SILOG,_10_MEAN_DEPTH_ERROR,_10_MEDIAN_DIFF,_10_THRESHOLD_DELTA_1.25,_10_THRESHOLD_DELTA_1.25^2,_10_THRESHOLD_DELTA_1.25^3,_20_ABS_REL_DIFF,_20_SQU_REL_DIFF,_20_RMS_LINEAR,_20_RMS_LOG,_20_SILOG,_20_MEAN_TARGET_DEPTH,_20_MEDIAN_TARGET_DEPTH,_20_MEAN_PREDICTION_DEPTH,_20_MEDIAN_PREDICTION_DEPTH,_20_MEAN_DEPTH_ERROR,_20_MEDIAN_DIFF,_20_THRESHOLD_DELTA_1.25,_20_THRESHOLD_DELTA_1.25^2,_20_THRESHOLD_DELTA_1.25^3,_30_ABS_REL_DIFF,_30_SQU_REL_DIFF,_30_RMS_LINEAR,_30_RMS_LOG,_30_SILOG,_30_MEAN_TARGET_DEPTH,_30_MEDIAN_TARGET_DEPTH,_30_MEAN_PREDICTION_DEPTH,_30_MEDIAN_PREDICTION_DEPTH,_30_MEAN_DEPTH_ERROR,_30_MEDIAN_DIFF,_30_THRESHOLD_DELTA_1.25,_30_THRESHOLD_DELTA_1.25^2,_30_THRESHOLD_DELTA_1.25^3
mvsec,/media/adam/vprdatasets/data/MVSEC,test/mvsec_outdoor_day1,RecDAv2,models/rec_dav2/synth/synth.pth,1,1,0.365835,0.494302,7.244400,0.438505,0.208267,12.276532,8.036526,12.373362,9.512748,4.050437,1.580187,0.522699,0.774089,0.885486,5.398491,5.161296,6.559205,5.389230,0.388423,0.656110,3.578367,0.447793,0.211118,1.985726,0.677568,0.561327,0.787075,0.878427,0.383609,0.571357,4.719976,0.439297,0.203927,7.647675,6.488881,9.362789,7.129738,2.730772,0.843968,0.544064,0.784478,0.885765,0.371164,0.531809,4.988605,0.429935,0.198474,9.199258,7.164244,10.739019,8.099760,2.996399,1.079669,0.543286,0.791139,0.893278
mvsec,/media/adam/vprdatasets/data/MVSEC,test/mvsec_outdoor_night1,RecDAv2,models/rec_dav2/synth/synth.pth,1,1,0.558048,1.774056,8.917751,0.580637,0.355189,13.498478,8.850567,13.719074,13.482260,5.686597,4.633838,0.351292,0.625231,0.788478,5.316730,5.093358,7.501217,5.407112,0.684778,2.746881,5.494576,0.656177,0.424265,3.418621,0.900230,0.334912,0.586436,0.731638,0.626671,2.222692,6.174410,0.605490,0.362074,7.934600,6.753257,10.855181,8.701583,4.134079,2.015210,0.349808,0.618026,0.774762,0.583708,1.980153,6.218834,0.580999,0.344301,9.848179,7.704490,12.242088,10.777933,4.274031,3.080544,0.371249,0.645144,0.795449
mvsec,/media/adam/vprdatasets/data/MVSEC,test/mvsec_outdoor_night2,RecDAv2,models/rec_dav2/synth/synth.pth,1,1,0.473698,0.842914,7.900955,0.503743,0.263049,13.311752,10.199053,13.423279,14.271823,4.987720,4.107219,0.420585,0.687931,0.832727,5.730944,5.579061,8.120990,6.641608,0.614784,1.422762,4.941784,0.570538,0.274402,3.248964,1.409814,0.398588,0.633997,0.775928,0.516201,1.049290,5.236072,0.506387,0.236839,8.761874,7.832981,11.182489,10.307553,3.613773,2.557375,0.434117,0.697844,0.835137,0.482492,0.911592,5.444390,0.488991,0.234846,10.734606,9.119297,12.495733,12.428461,3.853305,3.376997,0.441891,0.712044,0.848186
